,gap,true_gap
icsd-617647,-0.005873382,0.0
icsd-249618,1.9883288,1.26
icsd-182747,1.0825038,0.9
icsd-189199,4.3187757,2.58
icsd-104709,-0.005873382,0.0
icsd-16496,-0.005873382,0.0
icsd-607072,3.3172398,3.5
icsd-241209,-0.005873382,0.0
icsd-167917,-0.0058733523,0.0
icsd-246171,-0.0058733523,0.0
icsd-107954,1.7847098,0.7
icsd-419443,-0.005873382,2.0
icsd-66750,-0.005873382,0.0
icsd-196975,-0.005873382,0.0
icsd-23153,-0.005873382,0.0
icsd-77697,-0.005873382,0.0
icsd-416138,-0.005873382,0.0
icsd-248940,1.5373932,1.36
icsd-77316,0.010267824,0.0
icsd-166275,0.43981212,0.65
icsd-185482,-0.005873382,0.8
icsd-57974,-0.005873382,0.0
icsd-637206,-0.005873382,0.0
icsd-79,2.550805,1.1
icsd-415553,3.5994186,3.4
icsd-102803,-0.005873382,0.0
icsd-79760,0.58166313,0.0
icsd-411432,2.0110202,1.02
icsd-171214,2.6936388,1.3
icsd-161763,3.1668892,3.65
icsd-659489,2.9039316,3.6
icsd-107023,-0.005873382,0.0
icsd-262887,2.6274843,1.95
icsd-628957,0.97913367,1.0
icsd-422640,2.901701,3.73
icsd-102864,-0.005873382,0.0
icsd-160088,2.283237,0.0
icsd-73376,-0.005873382,0.155
icsd-610999,0.15589397,1.04
icsd-249872,3.147635,3.1
icsd-425179,2.358622,1.92
icsd-90900,-0.0058733523,0.0
icsd-172357,-0.005873382,0.0
icsd-170867,-0.005873382,0.0
icsd-610437,-0.005873382,0.0
icsd-429629,3.1504216,2.4
icsd-52408,-0.005873382,0.0
icsd-670173,-0.005873382,0.0
icsd-614079,-0.005873382,0.0
icsd-248035,2.8212132,2.2
icsd-240366,1.7834089,2.2
icsd-649646,-0.005873382,0.0
icsd-56400,-0.005873382,0.0
icsd-155836,-0.005873382,0.0
icsd-58503,-0.005873382,0.0
icsd-428424,1.5436091,1.31
icsd-43041,-0.005873382,0.0
icsd-24803,1.0325118,2.27
icsd-43357,0.8303388,0.7033333333333333
icsd-1142,2.2158444,2.5
icsd-67370,-0.005873382,0.0
icsd-629000,1.1164992,0.355
icsd-615348,-0.005873382,0.0
icsd-417135,1.7362387,2.0
icsd-650546,-0.005873382,0.0
icsd-170035,1.3142074,0.0
icsd-432105,3.4042902,3.73
icsd-609573,-0.005873382,0.0
icsd-106351,-0.005873382,0.0
icsd-58947,-0.005873382,0.0
icsd-157537,2.6656494,3.4
icsd-631186,-0.005873382,0.9
icsd-652076,0.21257272,0.0
icsd-104277,-0.0058733523,0.0
icsd-610526,-0.005873382,0.6
icsd-420032,1.8966279,2.02
icsd-93876,2.304923,1.35
icsd-23307,2.1336164,2.17
icsd-245293,-0.005873382,0.0
icsd-41761,-0.005873382,0.0
icsd-81977,4.410951,3.9
icsd-252582,5.1229696,4.6
icsd-53287,-0.005873382,0.0
icsd-242281,2.4843845,2.06
icsd-202001,-0.005873382,0.0
icsd-415877,2.9533315,3.41
icsd-238682,1.517889,1.74
icsd-418180,-0.005873382,0.0
icsd-52612,-0.005873382,0.0
icsd-30613,-0.005873382,0.0
icsd-104302,-0.005873382,0.0
icsd-72976,0.8796971,0.53
icsd-624874,-0.005873382,0.0
icsd-672291,0.4517891,0.25
icsd-61519,1.3711588,2.991275
icsd-413720,-0.005873382,0.0
icsd-240989,1.9222145,0.0
icsd-44127,0.5239605,1.09
icsd-43594,3.4806833,1.62
icsd-410750,-0.005873382,0.0
icsd-642013,-0.005873382,0.43
icsd-252000,3.401341,3.1
icsd-59230,2.658526,0.0
icsd-300271,-0.005873382,0.0
icsd-154741,0.37239695,0.24
icsd-418589,1.9684905,1.8
icsd-99134,-0.005873382,0.0
icsd-186787,2.7923203,4.1850000000000005
icsd-76843,-0.005873382,0.0
icsd-262995,3.784852,3.68
icsd-427398,6.3523273,6.89
icsd-41763,-0.005873382,0.0
icsd-90118,2.0064702,1.7
icsd-638846,1.5314851,2.9166666666666665
icsd-37417,1.6304758,0.0
icsd-416816,-0.005873382,0.0
icsd-150148,-0.005873382,0.0
icsd-191674,-0.005873382,0.0
icsd-646447,-0.005873382,0.42
icsd-97563,2.1275187,2.43
icsd-58301,-0.005873382,0.0
icsd-652406,-0.005873382,0.0
icsd-280847,2.6798544,2.35
icsd-200563,-0.005873382,0.0
icsd-106228,-0.005873382,0.0
icsd-57560,-0.005873382,0.0
icsd-44468,-0.005873382,0.0
icsd-672073,2.5668354,3.75
icsd-261387,2.9172807,2.58
icsd-425081,1.4734505,1.41
icsd-97539,0.7750732,0.0
icsd-281723,3.1110458,3.0
icsd-76673,-0.005873382,0.0
icsd-657111,-0.005873382,0.0
icsd-109226,-0.005873382,0.0
icsd-33990,1.7437359,1.5
icsd-637305,-0.0058733523,0.0
icsd-97559,1.8716956,2.17
icsd-600799,0.29522172,1.2
icsd-237364,3.4948244,2.74
icsd-15770,-0.005873382,0.0
icsd-16448,-0.005873382,0.0
icsd-23129,-0.005873382,0.0
icsd-412208,-0.005873382,0.0
icsd-191273,-0.005873382,0.0
icsd-56572,2.2976756,2.3480000000000003
icsd-426330,2.8334184,2.47
icsd-410569,-0.005873382,0.0
icsd-87348,-0.005873382,0.0
icsd-73780,3.1234221,3.34
icsd-74514,0.8686927,0.7
icsd-152375,2.8145885,2.8
icsd-456,-0.005873382,0.0
icsd-23176,1.9341931,1.5
icsd-651692,-0.005873382,0.0
icsd-95175,-0.005873382,0.0
icsd-55931,-0.005873382,0.0
icsd-155269,3.0483713,2.21
icsd-637856,3.645101,2.38125
icsd-300225,1.1305542,0.3
icsd-670491,0.34704056,0.0
icsd-68656,0.003042847,0.0
icsd-33915,-0.005873382,0.0
icsd-248295,3.1364098,2.64
icsd-52640,-0.005873382,0.0
icsd-77385,-0.005873382,0.0
icsd-241472,1.271243,1.66
icsd-42757,-0.005873382,0.0
icsd-611289,1.3719511,0.8
icsd-427666,4.039235,4.23
icsd-252050,2.8860984,2.02
icsd-262892,2.4619532,2.27
icsd-419600,2.5566382,1.85
icsd-672111,0.82442164,0.945
icsd-78740,-0.005873382,0.0
icsd-290959,-0.0037292242,3.4
icsd-251739,1.4459274,1.93
icsd-619548,3.3070316,2.32
icsd-606294,-0.005873382,0.0
icsd-43828,-0.005873382,0.0
icsd-54999,-0.005873382,0.0
icsd-58158,-0.005873382,0.0
icsd-109307,-0.005873382,0.0
icsd-103437,-0.005873382,0.0
icsd-159206,3.2677007,4.5
icsd-429490,1.7017462,2.27
icsd-93240,-0.005873382,0.0
icsd-671735,5.125298,3.4125
icsd-154012,0.35479373,0.0
icsd-29204,3.198884,4.4
icsd-659268,-0.005873382,0.0
icsd-251051,4.212426,4.0
icsd-411798,-0.005873382,0.0
icsd-239112,1.7845933,2.53
icsd-106105,-0.005873382,0.0
icsd-36020,-0.005873382,0.0
icsd-425761,1.9435406,1.86
icsd-61265,1.4485135,0.0
icsd-408415,2.36649,1.5
icsd-23724,1.174629,2.0
icsd-108979,3.2620478,2.65
icsd-10104,-0.0058733523,0.0
icsd-657621,-0.005873382,0.0
icsd-72476,-0.005873382,0.0
icsd-415888,-0.005873382,0.0
icsd-66960,-0.005873382,0.0
icsd-88019,-0.005873382,0.0
icsd-261678,2.1511638,1.55
icsd-614432,-0.005873382,0.0
icsd-103442,-0.005873382,0.0
icsd-243494,3.4448814,4.84
icsd-420638,1.4641438,3.52
icsd-639737,-0.005873382,0.0
icsd-418558,4.0534444,2.96
icsd-249546,2.4463582,2.597
icsd-243495,4.1925545,4.76
icsd-639200,1.0052166,0.2416666666666666
icsd-57074,-0.005873382,0.0
icsd-190597,-0.005873382,2.6133333333333333
icsd-652205,1.1020007,1.5
icsd-151193,-0.005873382,0.0
icsd-44169,-0.005873382,0.0
icsd-623793,-0.005873382,0.0
icsd-612687,4.4658346,4.5
icsd-62400,-0.0058733225,0.23
icsd-86805,-0.005873382,0.0
icsd-418588,1.9446484,2.0
icsd-291295,3.7994637,3.8
icsd-185784,2.7184458,2.4
icsd-170563,2.8616385,2.6
icsd-23578,-0.005873382,0.0
icsd-640790,-0.005873382,0.0
icsd-196823,1.1471843,0.6166666666666667
icsd-250676,3.5957742,3.3
icsd-619114,-0.005873382,0.0
icsd-612443,-0.005873382,0.0
icsd-173622,2.402576,2.0
icsd-638781,-0.005873382,0.0
icsd-95206,-0.005873382,0.0
icsd-56236,-0.005873382,0.0
icsd-50959,2.6466446,2.58
icsd-200601,1.2351936,0.0
icsd-82674,-0.005873382,0.0
icsd-60442,2.1118402,2.0
icsd-104152,-0.005873382,0.0
icsd-84918,1.9532286,0.0
icsd-424343,-0.005873382,0.0
icsd-249621,2.052754,1.61
icsd-670168,-0.005873382,0.185
icsd-161491,-0.005873382,0.495
icsd-107610,-0.005873382,0.0
icsd-200009,-0.005873382,0.0
icsd-60233,6.915376,6.6
icsd-2492,0.18064018,0.51
icsd-252002,3.5122523,3.1
icsd-407246,-0.005873382,0.0
icsd-180271,3.4939785,2.51
icsd-200798,2.0559611,2.8
icsd-150662,-0.005873382,0.0
icsd-195132,4.7304173,4.5
icsd-672383,3.6628823,3.7
icsd-16515,-0.005873382,0.0
icsd-44925,-0.005873382,0.0
icsd-262502,6.2297306,6.53
icsd-95668,-0.0058733523,3.8
icsd-106529,-0.0058733523,0.0
icsd-183099,3.3182645,4.0
icsd-9935,7.93341,0.0
icsd-262210,4.104518,3.37
icsd-105709,-0.005873382,0.0
icsd-61672,7.7685986,7.261666666666668
icsd-58505,-0.005873382,0.0
icsd-417452,-0.005873382,0.0
icsd-710063,2.9611783,2.36
icsd-425279,4.734713,4.76
icsd-58535,-0.005873382,0.0
icsd-196757,1.3121264,3.1
icsd-628055,2.8367014,1.536333333333333
icsd-58069,-0.005873382,0.0
icsd-639905,-0.0058733523,0.0
icsd-280272,-0.005873382,0.0
icsd-80589,1.7644937,1.83
icsd-108179,-0.005873382,0.0
icsd-196139,2.6958675,1.39
icsd-618707,-0.005873382,0.0
icsd-414128,-0.005873382,0.495
icsd-84306,2.380354,2.19
icsd-151191,0.6258359,0.0
icsd-55341,-0.005873382,0.0
icsd-26469,2.3410168,2.2
icsd-59549,-0.005873382,0.0
icsd-419438,2.9049864,1.9
icsd-41686,-0.005873382,0.0
icsd-57550,-0.005873382,0.0
icsd-196672,-0.005873382,0.0
icsd-659963,3.8786712,0.75
icsd-2322,4.7589803,4.81
icsd-261332,5.4764476,5.58
icsd-638759,-0.005873382,0.0
icsd-417616,3.6253085,3.81
icsd-25572,2.070942,1.925
icsd-84204,-0.005873382,0.0
icsd-159305,-0.005873382,0.0
icsd-183392,3.5735216,3.1
icsd-78988,-0.005873382,0.0
icsd-253695,6.802111,3.67
icsd-107609,-0.005873382,0.0
icsd-419063,0.8304582,0.0
icsd-670966,-0.005873382,0.23
icsd-108073,2.6695232,0.0
icsd-20320,-0.005873382,1.5
icsd-640547,-0.005873382,0.0
icsd-406353,2.0358708,2.35
icsd-634546,2.6304555,3.3466666666666662
icsd-106185,-0.005873382,0.0
icsd-75508,2.1440892,2.19
icsd-421091,2.3486853,2.7
icsd-197122,-0.005873382,0.0
icsd-425158,1.5400844,1.66
icsd-154407,1.2752459,0.9517142857142856
icsd-621010,-0.005873382,0.0
icsd-281441,2.2988296,2.485
icsd-72975,2.343305,1.4166666666666667
icsd-672040,2.4850917,5.13
icsd-649729,-0.005873382,0.0
icsd-181889,-0.005873114,0.0
icsd-67451,-0.005873382,0.0
icsd-10055,-0.005873382,0.0
icsd-640195,3.5151405,3.12
icsd-88560,-0.0058733523,0.0
icsd-161588,-0.005873382,0.0
icsd-58868,-0.005873382,0.0
icsd-422883,4.0218267,5.289999999999999
icsd-647796,-0.005873382,0.0
icsd-671557,-0.005873382,0.0
icsd-66356,1.76854,0.0
icsd-197188,-0.005873382,0.0
icsd-40127,2.071669,2.07225
icsd-604906,-0.005873382,0.0
icsd-59707,1.8701453,1.78
icsd-238191,1.9108092,1.6
icsd-249592,-0.005873382,0.0
icsd-262241,2.5914464,2.78
icsd-636306,-0.005873382,0.0
icsd-41374,3.280581,0.1
icsd-174209,-0.005873382,6.4
icsd-58631,-0.005873382,0.0
icsd-617445,-0.005873382,0.0
icsd-422702,3.6324353,4.22
icsd-604337,-0.005873382,0.0
icsd-106881,-0.005873382,0.0
icsd-236248,2.7698293,3.15
icsd-252141,3.6451478,3.27
icsd-52243,7.9327183,7.6
icsd-84950,0.5059097,1.0
icsd-644481,1.2095084,1.1266666666666667
icsd-413739,2.0212746,2.33
icsd-57528,-0.005873382,0.0
icsd-653445,-0.005873382,0.0
icsd-422203,3.9053411,3.46
icsd-195341,2.1937249,1.2
icsd-609361,-0.0058733523,0.0
icsd-417867,-0.005873382,0.0
icsd-243761,3.608057,2.64
icsd-424354,4.9994636,3.65
icsd-672087,4.22709,2.75
icsd-58684,-0.005873382,0.0
icsd-600800,0.5710494,1.12
icsd-649823,-0.005873382,0.0
icsd-607110,-0.005873382,0.0
icsd-58401,-0.005873382,0.0
icsd-75126,1.8439656,1.0
icsd-152637,-0.005873382,0.0
icsd-658576,-0.005873382,0.0
icsd-646021,0.38025087,0.48
icsd-422701,3.19237,4.62
icsd-650354,-0.005873382,0.0
icsd-191640,-0.005865425,0.0
icsd-76275,-0.005873382,0.0
icsd-20239,-0.005873382,0.0
icsd-72303,-0.005873382,0.0
icsd-642229,-0.005873382,0.0
icsd-412385,1.4733825,0.78
icsd-248937,1.1946042,1.08
icsd-77235,-0.005873382,0.0
icsd-239702,3.8539429,3.29
icsd-291294,4.073278,3.9
icsd-58585,-0.005873382,0.0
icsd-202952,0.5134227,0.0
icsd-672062,1.4397237,3.4
icsd-99069,-0.005873382,0.0
icsd-640781,-0.005873382,0.0
icsd-103465,-0.0058733523,0.0
icsd-430648,2.4907475,1.63
icsd-635369,2.029018,2.0835961538461536
icsd-103829,-0.005873382,0.0
icsd-200018,4.6170125,4.84
icsd-23077,-0.005873382,0.0
icsd-156126,3.1598125,2.655
icsd-44230,-0.005873382,0.0
icsd-169163,-0.005873382,0.95
icsd-641904,-0.005873382,0.8
icsd-23003,2.736888,2.433333333333333
icsd-150969,-0.005873382,0.0
icsd-104375,-0.005873382,0.0
icsd-240052,-0.005873382,0.0
icsd-181258,-0.005873382,0.0
icsd-650044,1.7619886,1.0
icsd-56238,-0.005873382,0.0
icsd-88063,-0.005873382,0.0
icsd-83488,-0.005873382,0.0
icsd-649314,-0.005873382,0.0
icsd-163360,0.7253692,0.54
icsd-44210,-0.005873382,0.0
icsd-100294,2.5751753,2.66
icsd-85138,2.5935326,0.53
icsd-420854,2.2227664,2.16
icsd-602964,2.3295383,4.2
icsd-242277,3.8096585,4.3
icsd-53829,8.833007,8.277999999999999
icsd-605976,-0.005873382,0.0
icsd-429961,2.5031452,2.5
icsd-409420,0.07417819,6.89
icsd-59801,1.0095656,0.0
icsd-671342,5.174603,5.743333333333332
icsd-27192,2.5460806,2.5
icsd-106038,-0.005873382,1.0
icsd-620436,1.9468411,1.858412
icsd-93758,3.3301735,1.85
icsd-641324,1.5580692,1.6900000000000002
icsd-194633,4.0498257,3.68
icsd-189957,0.15968716,0.0
icsd-670579,3.9377627,2.64
icsd-196956,-0.005873382,0.0
icsd-280516,1.9595181,1.45
icsd-261492,1.6545048,4.1
icsd-649013,1.4401594,1.8
icsd-30358,1.867603,1.05
icsd-670620,3.4819593,2.13
icsd-40908,-0.005873382,0.0
icsd-653187,-0.005873382,1.8
icsd-55545,-0.005873382,0.0
icsd-290882,1.0540245,1.03
icsd-426589,3.0967188,2.31
icsd-246145,-0.005873382,0.0
icsd-192846,-0.005873382,0.0
icsd-92070,1.6932759,0.0
icsd-601361,-0.005873382,0.0
icsd-150940,-0.005873382,0.0
icsd-251664,2.1165018,2.8
icsd-42969,-0.005873382,1.07
icsd-57617,-0.005873382,0.0
icsd-180730,3.3269358,7.3
icsd-410945,0.044392586,0.0
icsd-281436,2.105196,2.46
icsd-80092,1.3382641,1.0
icsd-100051,-0.0058733523,0.0
icsd-57233,-0.0058733523,0.0
icsd-171626,0.06275961,0.0
icsd-648016,0.8462298,0.9
icsd-26976,-0.005469382,1.59
icsd-53679,0.9034783,1.67
icsd-152753,2.6070538,2.32
icsd-637267,-0.005873382,0.0
icsd-415803,-0.005873382,0.0
icsd-671965,1.2320831,2.8
icsd-415206,-0.005873382,0.0
icsd-49748,-0.005873382,0.0
icsd-44646,1.0055149,0.7226666666666666
icsd-41839,-0.005873382,0.0
icsd-53843,6.869926,6.132777777777778
icsd-252878,2.4981022,1.0
icsd-43652,0.60495883,0.3
icsd-422007,-0.005873382,0.0
icsd-106282,-0.005873382,0.0
icsd-42956,-0.005873382,0.0
icsd-414009,3.1840873,3.48
icsd-71495,-0.005873382,2.0
icsd-93502,-0.005873382,0.0
icsd-408418,-0.005873382,0.0
icsd-409375,-0.005873382,0.0
icsd-150933,-0.005873382,0.0
icsd-262882,1.9655837,2.31
icsd-656763,-0.005873382,0.0
icsd-611404,1.0827227,1.5
icsd-151644,2.2099442,2.0
icsd-236799,3.1400442,2.6
icsd-78088,3.935522,3.08
icsd-23261,-0.0058733523,0.0
icsd-196919,-0.0058733523,0.3
icsd-633067,-0.005873382,0.32
icsd-61518,1.5054609,3.4182
icsd-412294,-0.005873382,0.0
icsd-150540,-0.005873382,0.0
icsd-50704,1.7833152,2.64
icsd-194935,-0.005873382,3.35
icsd-608072,-0.005873382,0.0
icsd-104342,-0.005873382,0.24
icsd-180003,4.5331397,3.97
icsd-96346,2.2638865,2.98
icsd-194200,5.6535215,6.89
icsd-39157,0.039368063,1.0
icsd-192104,-0.005873382,0.0
icsd-79224,-0.005873382,0.0
icsd-643010,-0.005873382,0.0
icsd-187821,0.02680242,3.51
icsd-35705,0.7459992,6.38
icsd-170467,0.068293154,0.0
icsd-174232,-0.005873382,1.05
icsd-31093,2.488607,2.38
icsd-613778,-0.005873382,0.0
icsd-29053,-0.005873382,0.0
icsd-56036,-0.005873382,0.0
icsd-641955,-0.005873382,0.19
icsd-57965,-0.005873382,0.0
icsd-670479,2.0473619,1.1967272727272726
icsd-87984,3.1835132,0.0
icsd-94888,4.54673,5.42
icsd-71145,-0.005873382,0.0
icsd-104884,-0.005873382,0.0
icsd-105614,-0.0058733523,0.0
icsd-156006,2.7626977,2.8
icsd-237502,4.7722406,3.51
icsd-620246,1.4501123,1.30625
icsd-170634,0.66895604,0.452
icsd-180887,-0.005873382,0.0
icsd-107572,-0.005873382,0.0
icsd-74090,4.891805,2.25
icsd-161010,2.7838078,2.59
icsd-193782,2.5214663,2.31
icsd-183434,7.233194,6.53
icsd-248351,-0.005873382,0.0
icsd-55454,-0.005873382,0.0
icsd-182790,0.24477996,0.51
icsd-239708,3.3483772,3.17
icsd-57373,-0.005873382,0.0
icsd-280596,-0.005873382,0.0
icsd-413285,-0.005873382,0.0
icsd-96758,2.4600759,2.83
icsd-413979,-0.005873382,0.0
icsd-630338,1.0316167,0.69
icsd-25035,-0.005873382,0.0
icsd-59924,-0.005873382,0.0
icsd-170639,2.8942742,1.7
icsd-416523,2.813848,2.26
icsd-53437,0.56390053,1.119
icsd-415876,3.4539175,3.3
icsd-652653,1.745859,0.7
icsd-77887,0.3158222,0.0
icsd-602321,-0.005873382,0.0
icsd-252683,8.558521,4.895
icsd-641785,-0.005873382,0.0
icsd-107311,-0.0058733523,0.0
icsd-44970,-0.0058733523,0.16
icsd-103850,-0.005873382,0.0
icsd-635360,2.6514373,2.07
icsd-76738,0.7173202,0.0
icsd-648299,0.16758652,1.1749999999999998
icsd-44071,0.5870013,0.74
icsd-416244,-0.005873382,0.0
icsd-50702,1.4551443,3.6
icsd-23228,0.004409492,0.0
icsd-49738,0.004409492,0.0
icsd-16790,0.004409492,1.945
icsd-654121,1.6569673,1.2
icsd-262645,3.0799248,2.3
icsd-68209,0.004409492,0.0
icsd-79598,0.004409492,0.0
icsd-167074,4.009953,4.05
icsd-638671,0.004409492,0.0
icsd-650596,0.021268375,0.5
icsd-66067,0.7940363,0.0
icsd-53828,10.254973,10.4
icsd-635852,0.004409492,0.0
icsd-647710,0.85133713,0.5
icsd-252001,4.176766,3.3
icsd-427111,0.004409492,0.0
icsd-624219,0.004409492,0.0
icsd-196914,2.6587207,3.5
icsd-2831,1.5866352,2.4
icsd-40262,0.401806,0.0
icsd-420089,2.2082365,1.93
icsd-76720,0.004409492,0.0
icsd-36377,0.004409492,0.0
icsd-193781,0.11491163,1.07
icsd-648453,1.0488728,0.3620714285714285
icsd-54547,0.004409492,0.0
icsd-429149,3.2072256,3.76
icsd-43301,0.004409492,0.0
icsd-672037,3.9993753,2.52
icsd-77234,0.004409492,0.0
icsd-602476,0.004409492,0.0
icsd-639534,0.004409492,0.0
icsd-647604,0.004409492,0.66
icsd-53211,0.881086,0.15000000000000002
icsd-412543,0.004409492,0.0
icsd-100002,0.004409492,0.0
icsd-638945,0.004409492,0.0
icsd-107126,0.004409492,0.0
icsd-616501,0.004409492,0.0
icsd-431347,1.0998884,1.1
icsd-417739,0.004409492,0.0
icsd-67790,3.241096,3.7042
icsd-76695,0.004409492,0.11
icsd-426331,2.7265167,3.26
icsd-105427,0.004409492,0.0
icsd-2451,0.004409492,0.0
icsd-54853,0.004409492,0.0
icsd-631139,0.004409492,0.0
icsd-602236,1.5183073,1.1828571428571428
icsd-75460,0.061845377,3.44
icsd-89511,0.57689834,5.71
icsd-79105,0.30418992,0.0
icsd-647762,0.004409492,0.05
icsd-170857,1.7442309,0.48
icsd-84096,0.004409492,0.0
icsd-281440,2.970434,2.54
icsd-103286,0.004409492,0.0
icsd-418014,0.004409492,0.0
icsd-615332,0.004409492,0.0
icsd-77040,0.004409492,0.0
icsd-427613,0.34024614,0.9
icsd-72821,2.5593371,2.98
icsd-281665,0.004409492,0.0
icsd-672201,3.9605236,4.4
icsd-631320,0.004409492,1.85
icsd-22252,0.8656456,0.5
icsd-89562,0.004409492,0.0
icsd-107421,0.004409492,0.0
icsd-418627,4.1226707,2.27
icsd-40474,0.004409492,3.0
icsd-609533,0.004409492,0.0
icsd-636332,0.5798543,0.0
icsd-260652,0.004409492,0.0
icsd-300270,0.004409492,0.0
icsd-31421,0.004409492,0.0
icsd-631353,1.0624746,1.22
icsd-91469,2.6855357,2.68
icsd-90369,1.6116427,2.48
icsd-52238,11.406735,10.5
icsd-75572,2.8261724,2.6
icsd-391344,2.4180868,2.0
icsd-252035,0.004409492,0.0
icsd-647759,0.27716172,0.4
icsd-260029,1.4085993,1.6
icsd-73214,0.004409492,0.0
icsd-58704,0.004409492,0.0
icsd-422056,3.808271,4.27
icsd-647397,4.1010904,6.1
icsd-67220,2.010929,2.815
icsd-638564,0.004409492,0.0
icsd-87576,0.90489715,0.9488888888888891
icsd-245305,0.4625373,0.0
icsd-56175,0.004409492,0.0
icsd-412707,0.004409492,0.0
icsd-641194,0.004409492,0.0
icsd-631248,0.004409492,0.0
icsd-428445,2.3734143,2.34
icsd-36537,0.91007465,0.82
icsd-638513,0.004409492,0.0
icsd-650266,0.004409492,0.0
icsd-626175,0.004409492,0.0
icsd-61031,0.004409492,0.0
icsd-184922,0.004409492,3.5
icsd-186060,0.004409492,0.0
icsd-102877,0.004409492,0.0
icsd-57390,0.004409492,0.0
icsd-642475,3.4551013,5.5
icsd-77282,0.004409492,0.0
icsd-43913,0.004409492,0.0
icsd-51756,0.004409492,0.0
icsd-26200,0.004409492,0.0
icsd-370041,0.004409492,0.0
icsd-249965,1.2968215,0.85
icsd-245765,0.004409492,0.0
icsd-159366,0.004409492,0.0
icsd-27423,2.4235945,3.25
icsd-602458,0.004409492,0.0
icsd-184571,1.0039012,2.6
icsd-251546,3.8095968,4.0
icsd-16640,8.303646,3.76
icsd-631273,1.603693,1.7
icsd-430557,0.004409492,2.2
icsd-68465,4.1827006,3.8433333333333337
icsd-71643,0.004409492,0.0
icsd-171610,0.004409492,0.43
icsd-58392,0.004409492,0.0
icsd-416706,0.27669042,0.0
icsd-290374,0.004409492,0.18
icsd-180004,3.6672447,3.87
icsd-417267,1.4229747,2.75
icsd-59112,1.8671854,1.46
icsd-24584,0.037613355,0.0
icsd-247277,1.761323,2.47
icsd-159465,1.5875783,1.21
icsd-261333,5.309135,5.54
icsd-39286,0.004409492,0.0
icsd-95244,6.212192,0.0
icsd-608241,0.004409492,0.0
icsd-670164,0.004409492,0.0
icsd-95784,3.4857686,3.07
icsd-78956,0.004409492,0.0
icsd-37330,0.004409492,0.0
icsd-52289,0.004409492,0.0
icsd-170190,1.837153,2.12
icsd-14376,2.5744886,6.4433333333333325
icsd-69557,0.004409492,0.0
icsd-40427,0.004409492,0.0
icsd-103979,0.004409492,0.0
icsd-639687,1.0611522,0.0
icsd-82857,4.410642,3.06
icsd-670476,0.004409492,0.0
icsd-195177,2.8658283,2.04
icsd-416813,0.004409492,0.0
icsd-84304,2.3975067,2.64
icsd-611257,0.004409492,0.0
icsd-658142,0.004409492,0.0
icsd-409531,0.004409492,0.0
icsd-261386,2.4970188,2.44
icsd-197593,0.004409492,0.0
icsd-62228,2.124725,0.0
icsd-44260,1.8843006,2.151666666666667
icsd-262893,2.0268795,2.29
icsd-72350,0.004409492,0.0
icsd-159466,1.2271421,1.35
icsd-52803,0.62408143,0.99
icsd-44332,1.9596688,1.05
icsd-188149,3.0949306,3.1
icsd-10044,0.004409492,0.0
icsd-239632,2.3627303,1.71
icsd-248165,3.6047306,2.2
icsd-195613,3.7869427,1.375
icsd-36158,2.9788842,3.59
icsd-431320,2.740874,2.62
icsd-603743,2.1666293,2.2
icsd-251121,3.1868403,3.4
icsd-417510,0.004409492,0.95
icsd-106696,0.004409492,0.0
icsd-165249,0.004409492,0.0
icsd-415878,3.3123448,3.28
icsd-189658,4.879192,3.85
icsd-164744,1.0508913,3.41
icsd-38354,0.004409492,0.0
icsd-657101,0.004409492,0.0
icsd-86371,0.004409492,0.0
icsd-25574,1.5404589,1.9
icsd-83382,0.6581115,0.0
icsd-249634,0.004409492,0.0
icsd-87994,0.004409492,0.0
icsd-408579,0.004409492,0.0
icsd-242275,4.2748528,4.9
icsd-670505,2.3443327,2.5
icsd-97091,0.004409492,0.0
icsd-429440,2.3958087,2.56
icsd-422802,4.4742484,4.3
icsd-202836,0.523095,0.23
icsd-99197,0.004409492,0.0
icsd-157330,0.004409492,0.0
icsd-248942,1.3694679,1.35
icsd-36189,1.703942,2.37
icsd-187116,0.004409492,0.0
icsd-42962,0.004409507,0.0
icsd-601468,0.004409492,0.0
icsd-248933,1.7817721,1.04
icsd-430476,1.8173352,2.15
icsd-159315,12.488449,11.1
icsd-182745,2.4675226,2.05
icsd-58945,0.004409492,0.0
icsd-670011,3.4745789,4.75
icsd-237307,2.3866754,0.45
icsd-57669,0.004409492,0.0
icsd-612046,0.004409492,0.0
icsd-106857,0.004409492,0.0
icsd-53831,6.1875463,6.1850000000000005
icsd-253640,2.6654162,2.37
icsd-419437,3.1926813,2.6
icsd-600126,0.005374171,0.0
icsd-158181,0.004409492,0.2723076923076924
icsd-153608,0.004409492,0.0
icsd-652522,0.004409492,0.0
icsd-249515,0.0044101775,0.0
icsd-71960,0.004409492,0.0
icsd-150266,0.004409492,0.0
icsd-251710,2.194343,3.02
icsd-605531,0.004409492,0.0
icsd-281505,2.4247997,2.45
icsd-410839,0.004409492,0.0
icsd-53237,1.7628574,1.1
icsd-66944,4.2960773,6.32
icsd-623847,0.004409492,0.0
icsd-290884,1.170597,1.0
icsd-36196,2.303592,2.6
icsd-58358,0.004409492,0.0
icsd-25575,1.7905701,1.5933333333333335
icsd-641740,0.004409492,0.0
icsd-93639,0.004409492,0.0
icsd-624213,0.004409492,0.0
icsd-239096,3.9853253,3.725
icsd-41731,0.29165864,0.2
icsd-410895,0.9313289,0.516
